title,revenue,budget,genres,release_date,original_language,profit
Kingsman: The Secret Service,414351546,81000000,"Crime, Comedy, Action, Adventure",12/13/2014,en,333351546
La La Land,447407695,30000000,"Comedy, Drama, Romance, Music",11/29/2016,en,417407695
Frozen,1274219009,150000000,"Animation, Family, Adventure, Fantasy",11/20/2013,en,1124219009
Dunkirk,527000000,150000000,"War, Action, Drama",7/19/2017,en,377000000
Zootopia,1023784195,150000000,"Animation, Adventure, Family, Comedy",2/11/2016,en,873784195
Lucy,458863600,40000000,"Action, Science Fiction",7/25/2014,en,418863600
Jurassic Park,920100000,63000000,"Adventure, Science Fiction",6/11/1993,en,857100000
The Silence of the Lambs,272742922,19000000,"Crime, Drama, Thriller",2/14/1991,en,253742922
Beauty and the Beast,1266115964,160000000,"Family, Fantasy, Romance",3/16/2017,en,1106115964
Pirates of the Caribbean: Dead Man's Chest,1065659812,200000000,"Adventure, Fantasy, Action",7/6/2006,en,865659812
Big Hero 6,657827828,165000000,"Adventure, Family, Animation, Action, Comedy",10/24/2014,en,492827828
Now You See Me,351723989,75000000,"Thriller, Crime",5/29/2013,en,276723989
The Hunger Games: Mockingjay - Part 1,755356711,125000000,"Science Fiction, Adventure, Thriller",11/19/2014,en,630356711
Venom,856085151,116000000,"Science Fiction, Action",9/28/2018,en,740085151
The Prestige,109676311,40000000,"Drama, Mystery, Science Fiction",10/19/2006,en,69676311
I Am Legend,585410052,150000000,"Drama, Science Fiction, Thriller",12/12/2007,en,435410052
Saving Private Ryan,481840909,70000000,"Drama, History, War",7/24/1998,en,411840909
Captain Marvel,1131416446,152000000,"Action, Adventure, Science Fiction",3/6/2019,en,979416446
Baby Driver,226945087,34000000,"Action, Crime",6/28/2017,en,192945087
Schindler's List,321365567,22000000,"Drama, History, War",12/15/1993,en,299365567
Return of the Jedi,572700000,32350000,"Adventure, Action, Science Fiction",5/25/1983,en,540350000
Spider-Man: Far From Home,1131927996,160000000,"Action, Adventure, Science Fiction",6/28/2019,en,971927996
Skyfall,1142471295,200000000,"Action, Adventure, Thriller",10/24/2012,en,942471295
Gravity,723192705,105000000,"Science Fiction, Thriller, Drama",10/3/2013,en,618192705
X-Men: Days of Future Past,747862775,250000000,"Action, Adventure, Science Fiction",5/15/2014,en,497862775
Ready Player One,607274134,175000000,"Adventure, Action, Science Fiction",3/28/2018,en,432274134
World War Z,531865000,200000000,"Action, Drama, Horror, Science Fiction, Thriller",6/20/2013,en,331865000
Catch Me If You Can,352114312,52000000,"Drama, Crime",12/16/2002,en,300114312
Rogue One: A Star Wars Story,1056057273,200000000,"Action, Adventure, Science Fiction",12/14/2016,en,856057273
Star Wars: The Last Jedi,1332698830,200000000,"Adventure, Action, Science Fiction",12/13/2017,en,1132698830
Man of Steel,668045518,225000000,"Action, Adventure, Science Fiction",6/12/2013,en,443045518
Despicable Me,533679475,69000000,"Family, Animation, Comedy",7/8/2010,en,464679475
Spider-Man 2,788976453,200000000,"Action, Adventure, Fantasy",6/25/2004,en,588976453
Spider-Man: Into the Spider-Verse,375464627,90000000,"Action, Adventure, Animation, Science Fiction",12/6/2018,en,285464627
Charlie and the Chocolate Factory,474968763,150000000,"Adventure, Comedy, Family, Fantasy",7/13/2005,en,324968763
Whiplash,13092000,3300000,"Drama, Music",10/10/2014,en,9792000
The Departed,291465000,90000000,"Drama, Thriller, Crime",10/4/2006,en,201465000
The Grand Budapest Hotel,174600318,30000000,"Comedy, Drama",2/26/2014,en,144600318
Toy Story 3,1066969703,200000000,"Animation, Family, Comedy",6/16/2010,en,866969703
Memento,39723096,9000000,"Mystery, Thriller",10/11/2000,en,30723096
Eternal Sunshine of the Spotless Mind,72258126,20000000,"Science Fiction, Drama, Romance",3/19/2004,en,52258126
Léon: The Professional,45284974,16000000,"Crime, Drama, Action",9/14/1994,en,29284974
Black Swan,329398046,13000000,"Drama, Thriller, Horror",12/3/2010,en,316398046
V for Vendetta,132511035,54000000,"Action, Thriller, Science Fiction",2/23/2006,en,78511035
Star Wars: Episode I - The Phantom Menace,924317558,115000000,"Adventure, Action, Science Fiction",5/19/1999,en,809317558
Her,47351251,23000000,"Romance, Science Fiction, Drama",12/18/2013,en,24351251
Pirates of the Caribbean: At World's End,961000000,300000000,"Adventure, Fantasy, Action",5/19/2007,en,661000000
The Hobbit: The Battle of the Five Armies,956019788,250000000,"Action, Adventure, Fantasy",12/10/2014,en,706019788
Reservoir Dogs,2859750,1200000,"Crime, Thriller",9/2/1992,en,1659750
The Hateful Eight,155760117,44000000,"Drama, Mystery, Western",12/25/2015,en,111760117
Alien,104931801,11000000,"Horror, Science Fiction",5/25/1979,en,93931801
Sherlock Holmes,524028679,90000000,"Action, Adventure, Crime, Mystery",12/23/2009,en,434028679
Alice in Wonderland,1025467110,200000000,"Family, Fantasy, Adventure",3/3/2010,en,825467110
Pirates of the Caribbean: On Stranger Tides,1045713802,379000000,"Adventure, Action, Fantasy",5/15/2011,en,666713802
Spider-Man 3,894983373,258000000,"Fantasy, Action, Adventure",5/1/2007,en,636983373
A Quiet Place,341000000,17000000,"Horror, Drama, Science Fiction",4/3/2018,en,324000000
Aquaman,1148528393,160000000,"Action, Adventure, Fantasy",12/7/2018,en,988528393
Kill Bill: Vol. 2,152159461,30000000,"Action, Crime, Thriller",4/16/2004,en,122159461
Cars,461983149,120000000,"Animation, Adventure, Comedy, Family",6/8/2006,en,341983149
Toy Story 2,497366869,90000000,"Animation, Comedy, Family",10/30/1999,en,407366869
Men in Black,589390539,90000000,"Action, Adventure, Comedy, Science Fiction",7/2/1997,en,499390539
Edge of Tomorrow,370541256,178000000,"Action, Science Fiction",5/27/2014,en,192541256
300,456082343,65000000,"Action, Adventure, War",3/7/2007,en,391082343
Jumanji: Welcome to the Jungle,995339117,90000000,"Adventure, Action, Comedy, Fantasy",12/9/2017,en,905339117
Blade Runner,41722424,28000000,"Science Fiction, Drama, Thriller",6/25/1982,en,13722424
Star Wars: Episode III - Revenge of the Sith,850000000,113000000,"Adventure, Action, Science Fiction",5/17/2005,en,737000000
Hacksaw Ridge,175302354,40000000,"Drama, History, War",10/7/2016,en,135302354
Twilight,393616788,37000000,"Fantasy, Drama, Romance",11/20/2008,en,356616788
Brave,538983207,185000000,"Animation, Adventure, Comedy, Family, Action, Fantasy",6/21/2012,en,353983207
Ant-Man and the Wasp,622674139,140000000,"Action, Adventure, Science Fiction",7/4/2018,en,482674139
Maleficent,758539785,180000000,"Fantasy, Adventure, Action, Family, Romance",5/28/2014,en,578539785
Passengers,303144152,110000000,"Drama, Romance, Science Fiction",12/21/2016,en,193144152
Life of Pi,609016565,120000000,"Adventure, Drama",11/20/2012,en,489016565
Ex Machina,36869414,15000000,"Drama, Science Fiction",1/21/2015,en,21869414
The Amazing Spider-Man 2,708962323,200000000,"Action, Adventure, Fantasy",4/16/2014,en,508962323
Blade Runner 2049,259239658,150000000,"Science Fiction, Drama",10/4/2017,en,109239658
Ice Age,383257136,59000000,"Animation, Comedy, Family, Adventure",3/10/2002,en,324257136
Star Wars: Episode II - Attack of the Clones,649398328,120000000,"Adventure, Action, Science Fiction",5/15/2002,en,529398328
Justice League,657926987,300000000,"Action, Adventure, Science Fiction",11/15/2017,en,357926987
The Hobbit: The Desolation of Smaug,958400000,250000000,"Fantasy, Adventure, Action",12/11/2013,en,708400000
Once Upon a Time… in Hollywood,374251247,95000000,"Comedy, Drama, Thriller",7/24/2019,en,279251247
X-Men: Apocalypse,543934787,178000000,"Action, Adventure, Science Fiction, Fantasy",5/18/2016,en,365934787
Birdman or (The Unexpected Virtue of Ignorance),103215094,18000000,"Drama, Comedy",10/17/2014,en,85215094
Divergent,288885818,85000000,"Action, Adventure, Science Fiction",3/14/2014,en,203885818
American Sniper,542307423,58800000,"War, Action",12/25/2014,en,483507423
How to Train Your Dragon,494879471,165000000,"Fantasy, Adventure, Animation, Family",3/18/2010,en,329879471
Incredibles 2,1242805359,200000000,"Action, Adventure, Animation, Family",6/14/2018,en,1042805359
Edward Scissorhands,53000000,20000000,"Fantasy, Drama, Romance",12/7/1990,en,33000000
John Wick: Chapter 2,171539887,40000000,"Action, Thriller, Crime",2/8/2017,en,131539887
X-Men: First Class,353624124,160000000,"Action, Science Fiction, Adventure",6/1/2011,en,193624124
A Clockwork Orange,26589000,2200000,"Science Fiction, Drama",12/19/1971,en,24389000
The Curious Case of Benjamin Button,335802786,150000000,"Drama, Fantasy, Romance",12/25/2008,en,185802786
The Terminator,78371200,6400000,"Action, Thriller, Science Fiction",10/26/1984,en,71971200
Back to the Future Part II,332000000,40000000,"Adventure, Comedy, Science Fiction",11/22/1989,en,292000000
Terminator 2: Judgment Day,520000000,102000000,"Action, Thriller, Science Fiction",7/3/1991,en,418000000
